"FurnisherName","Address","City","State","Zip","PhoneNumber","vextension","AccountCardType","vnote"
"ADVANTAGE/ADVANTAGE CR",null,null,null,null,null,null,null,null
"ADVANTAGE/EECU",null,null,null,null,null,null,null,null
"ADVANTAGE/FAIRWAY INDE",null,null,null,null,null,null,null,null
"ADVANTAGE/FINANCIAL BA",null,null,null,null,null,null,null,null
"ADVANTAGE/MOTO FINANCI",null,null,null,null,null,null,null,null
"ADVANTAGE/SUMMIT FUNDI",null,null,null,null,null,null,null,null
"ADVANTIS CREDIT UNIO",null,null,null,null,null,null,null,null
"ADVENTHEALTH CREDIT UN",null,null,null,null,null,null,null,null
"ADVENTURE CU",null,null,null,null,null,null,null,null
"ADVIA CREDIT UNION",null,null,null,null,null,null,null,null
"ADVIA CU",null,null,null,null,null,null,null,null
"ADVNTGE CRED",null,null,null,null,null,null,null,null
"ADVPLUS/HOMEOWNERS FIN",null,null,null,null,null,null,null,null
"AES / ESA",null,null,null,null,null,null,null,null
"AES / PHEAA",null,null,null,null,null,null,null,null
"AES EDUC FUNDING SOUTH",null,null,null,null,null,null,null,null
"AES/ EDSOUTH",null,null,null,null,null,null,null,null
"AES/BARCLAYS BANK PLC",null,null,null,null,null,null,null,null
"AES/BELA- US BANK",null,null,null,null,null,null,null,null
"AES/BELAUSBK",null,null,null,null,null,null,null,null
"AES/BHEA- US BANK",null,null,null,null,null,null,null,null
"AES/CBW SCHOOLS FCU",null,null,null,null,null,null,null,null
"AES/CHASE BANK",null,null,null,null,null,null,null,null
"AES/CIT EDUCATION LO",null,null,null,null,null,null,null,null
"AES/COGLEND",null,null,null,null,null,null,null,null
"AES/ECMC",null,null,null,null,null,null,null,null
"AES/ED SERVICES OF A",null,null,null,null,null,null,null,null
"AES/EDSOUTH W BK OF NY",null,null,null,null,null,null,null,null
"AES/EDUCATION FUNDIN",null,null,null,null,null,null,null,null
"AES/ESA",null,null,null,null,null,null,null,null
"AES/GOAL FINANCIAL",null,null,null,null,null,null,null,null
"AES/M&TASELT",null,null,null,null,null,null,null,null
